gene_id	gene_name	acronym	geneProduct	chr	strand	start	end	A256_logFC	A256_FDR	A256_sig	A485_logFC	A485_FDR	A485_sig	A86_logFC	A86_FDR	A86_sig	A86256_logFC	A86256_FDR	A86256_sig	A86485_logFC	A86485_FDR	A86485_sig	dnf2_logFC	dnf2_FDR	dnf2_sig
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c10g0493601	MtrunA17Chr0c10g0493601			medtr.A17.gnm5.MtrunA17Chr0c10	-	31216	39479	0.316032814411838	1	NS	0.445533363568782	1	NS	0.364947596494082	0.999999979788073	NS	0.366665392567083	1	NS	-0.526147199098355	1	NS	-0.374087427514504	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c10g0493611	MtrunA17Chr0c10g0493611			medtr.A17.gnm5.MtrunA17Chr0c10	+	38662	39778	0.0601665599640865	1	NS	0.234200855052712	1	NS	0.663889757171162	0.999999979788073	NS	0.20960434612613	1	NS	-0.849751012421081	1	NS	-0.626331712134881	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c12g0493631	MtrunA17Chr0c12g0493631			medtr.A17.gnm5.MtrunA17Chr0c12	+	1	17719	0.483837040727005	1	NS	0.630249134552909	1	NS	0.397974235303024	0.999999979788073	NS	0.686413481098455	1	NS	0.126588350039433	1	NS	-0.154713478674266	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c12g0493651	MtrunA17Chr0c12g0493651			medtr.A17.gnm5.MtrunA17Chr0c12	-	22541	25420	-0.388389210604401	1	NS	-0.435998678937991	1	NS	-0.220551087453117	0.999999979788073	NS	-0.4678624330566	1	NS	0.170536443531397	1	NS	0.0578639492810476	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c12g0493661	MtrunA17Chr0c12g0493661			medtr.A17.gnm5.MtrunA17Chr0c12	+	26641	33181	0.963545603541275	0.999375894250913	NS	0.334595859191371	1	NS	0.592477824514561	0.999999979788073	NS	-0.284633546677637	1	NS	-0.308076442427103	1	NS	0.654308805653321	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c15g0493711	MtrunA17Chr0c15g0493711			medtr.A17.gnm5.MtrunA17Chr0c15	-	17159	17844	0.970380233552481	1	NS	-1.87231770230701	1	NS	1.33557793843469	0.999999979788073	NS	-1.87231770230701	0.994813600733399	NS	4.32972092146218	0.0113696081005249	UP	5.22553206113346	0.000382133198911979	UP
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c19g0493771	MtrunA17Chr0c19g0493771	MtCYP97A10	Cytochrome P450 monooxygenase	medtr.A17.gnm5.MtrunA17Chr0c19	+	6470	13567	-0.341191351863995	1	NS	-0.909629381518881	1	NS	-0.543878808236398	0.999999979788073	NS	-1.28284626889901	0.238731572870071	NS	-0.910795320903616	1	NS	-1.18007459270561	0.439838302450398	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c20g0493831	MtrunA17Chr0c20g0493831			medtr.A17.gnm5.MtrunA17Chr0c20	+	5560	8410	-0.119028665493517	1	NS	-0.695185731641643	1	NS	-0.056317108213659	0.999999979788073	NS	0.0457272280195152	1	NS	0.567491082181132	1	NS	0.656999646224902	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c20g0493841	MtrunA17Chr0c20g0493841			medtr.A17.gnm5.MtrunA17Chr0c20	-	8371	17759	2.10277608165473	0.111439026924461	NS	1.63974872857944	0.314459949660005	NS	1.49933339479852	0.736009779651177	NS	1.10516061889951	0.785521639501772	NS	0.175832714190307	1	NS	1.24583306235748	0.690615234146269	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c22g0493861	MtrunA17Chr0c22g0493861			medtr.A17.gnm5.MtrunA17Chr0c22	+	10548	11514	0.215440283467248	1	NS	-0.918014228172216	1	NS	0.256582166974648	0.999999979788073	NS	-0.479453161099942	1	NS	-0.543182090821571	1	NS	-1.50860354732644	0.509724130943176	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c27g0493921	MtrunA17Chr0c27g0493921			medtr.A17.gnm5.MtrunA17Chr0c27	-	15937	20107	0.626357047410181	1	NS	0.693202531521697	1	NS	0.711298257462119	0.999999979788073	NS	0.988363494094908	0.88662942792242	NS	0.554056419350576	1	NS	0.980138426074142	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c28g0493961	MtrunA17Chr0c28g0493961			medtr.A17.gnm5.MtrunA17Chr0c28	+	14120	17837	0.211323487697116	1	NS	0.238944653533336	1	NS	0.981828318301275	0.999999979788073	NS	0.140073460916718	1	NS	-0.11989546832014	1	NS	0.24799279099765	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c32g0494191	MtrunA17Chr0c32g0494191	MtNCR-new1	Nodule-specific Cysteine-Rich peptide	medtr.A17.gnm5.MtrunA17Chr0c32	+	7315	9387	0.361994719082286	1	NS	0.345744510261496	1	NS	0.0379071766372609	0.999999979788073	NS	-0.0108684115940474	1	NS	-2.61912835407836	0.00153620609464683	DOWN	-3.26608678152757	0.000103863893870013	DOWN
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146131	MtrunA17Chr1g0146131			medtr.A17.gnm5.MtrunA17Chr1	-	67701	68509	-0.960618744610307	0.967978694543304	NS	-1.15184617489048	0.709808601381734	NS	-1.91847438548991	0.310385312938568	NS	-1.40633818342161	0.432175331259135	NS	-7.00097008604754	0.000776910023123069	DOWN	-4.03742696707129	0.00234148459236118	DOWN
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146141	MtrunA17Chr1g0146141			medtr.A17.gnm5.MtrunA17Chr1	+	67979	68350	-1.65610825108799	0.386140263605486	NS	-1.76356491965194	0.314702876939386	NS	-0.910021590306662	0.999999979788073	NS	-1.60903873146286	0.369715787662145	NS	-5.12692428397577	0.00660125300756719	DOWN	-5.07591437113798	0.00381827769243951	DOWN
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146151	MtrunA17Chr1g0146151			medtr.A17.gnm5.MtrunA17Chr1	+	71788	76701	0.376980673911178	1	NS	0.185805195854214	1	NS	-0.00805082004499004	0.999999979788073	NS	-0.278234815016563	1	NS	-2.79759917644904	0.00146418963827783	DOWN	-3.07854000470904	0.000239002074640919	DOWN
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146161	MtrunA17Chr1g0146161	MtTIP1e	tonoplast intrinsic protein 1e (aquaporin)	medtr.A17.gnm5.MtrunA17Chr1	+	80464	82535	-1.12212775316939	0.67766093506782	NS	-0.0548697893051826	1	NS	-0.425581327016694	0.999999979788073	NS	0.556560419920881	1	NS	0.321133114968725	1	NS	0.474480304606603	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146181	MtrunA17Chr1g0146181			medtr.A17.gnm5.MtrunA17Chr1	+	87295	91102	0.91927848327919	1	NS	1.42490553698956	0.387388230588972	NS	0.406604335324253	0.999999979788073	NS	1.00659610388575	0.858109127618739	NS	0.622372250936002	1	NS	1.31610549564748	0.513332920622643	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146191	MtrunA17Chr1g0146191			medtr.A17.gnm5.MtrunA17Chr1	+	106787	107693	-0.958614146623757	0.976812413372984	NS	-0.137853336813266	1	NS	-0.412269591180781	0.999999979788073	NS	0.351487025506834	1	NS	-2.40564983619949	0.0604425439505466	NS	-2.24911162920144	0.0562227599793425	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146201	MtrunA17Chr1g0146201	NUP85-like	nucleoporin	medtr.A17.gnm5.MtrunA17Chr1	-	134713	146236	0.123156231487214	1	NS	0.0847608223450982	1	NS	-0.175953678298901	0.999999979788073	NS	-0.0939019468768826	1	NS	0.557072135477722	1	NS	0.38244734269393	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146211	MtrunA17Chr1g0146211			medtr.A17.gnm5.MtrunA17Chr1	-	147854	149659	0.954604477442208	0.982326843080225	NS	1.15152511992914	0.683023792573626	NS	0.397109597580147	0.999999979788073	NS	0.53050595495169	1	NS	0.171652596967506	1	NS	1.06117886902409	0.849419730329069	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146281	MtrunA17Chr1g0146281			medtr.A17.gnm5.MtrunA17Chr1	+	207651	215079	-0.730951792890526	1	NS	-0.792160409993094	1	NS	-0.465271551723388	0.999999979788073	NS	-0.675059220529058	1	NS	0.38306680314581	1	NS	-0.0031939026523892	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146291	MtrunA17Chr1g0146291			medtr.A17.gnm5.MtrunA17Chr1	+	219983	226454	-0.718698940838092	1	NS	-0.263025732448938	1	NS	-0.258441532634299	0.999999979788073	NS	-0.44056728890832	1	NS	0.193710533599012	1	NS	0.109184755166396	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146301	MtrunA17Chr1g0146301			medtr.A17.gnm5.MtrunA17Chr1	+	233885	241730	0.453688503907957	1	NS	0.397564225343915	1	NS	0.128167384379921	0.999999979788073	NS	0.406791348059114	1	NS	0.00440486537121776	1	NS	0.252061212898526	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146311	MtrunA17Chr1g0146311			medtr.A17.gnm5.MtrunA17Chr1	-	242442	250043	-0.0541101794479	1	NS	-0.291252703071588	1	NS	-0.0586748826410826	0.999999979788073	NS	-0.554574736979557	1	NS	0.489409326682526	1	NS	0.232563125768153	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146321	MtrunA17Chr1g0146321			medtr.A17.gnm5.MtrunA17Chr1	+	251177	255630	-0.323237392529487	1	NS	-0.0213092293713365	1	NS	0.0397081997931253	0.999999979788073	NS	-0.122408892040331	1	NS	0.0591133166604118	1	NS	-0.426227752073163	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146331	MtrunA17Chr1g0146331			medtr.A17.gnm5.MtrunA17Chr1	-	256334	260806	1.40676634667316	0.271367724147584	NS	1.05677873982989	0.778719630997905	NS	1.40962311609237	0.484047016763719	NS	1.027421650845	0.804598036411218	NS	0.0745400173643646	1	NS	0.646392981552117	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146341	MtrunA17Chr1g0146341			medtr.A17.gnm5.MtrunA17Chr1	+	257880	258313	1.62532754671219	0.110902485434364	NS	1.25867574154931	0.445557089974558	NS	1.58214604192885	0.262866420141194	NS	1.19405223875808	0.518557489661287	NS	0.139323639081002	1	NS	0.775379382586633	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146421	MtrunA17Chr1g0146421			medtr.A17.gnm5.MtrunA17Chr1	-	299539	304678	-1.26016158840213	0.253661073323213	NS	-1.43766857009603	0.0674700000126194	NS	-0.670537937677696	0.999999979788073	NS	-1.40216987620501	0.083691985660762	NS	-0.234814741715164	1	NS	-1.6819949588425	0.00658249211271343	DOWN
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146431	MtrunA17Chr1g0146431			medtr.A17.gnm5.MtrunA17Chr1	+	309234	316463	-0.42658941291159	1	NS	-0.448603704651656	1	NS	-0.352937897785829	0.999999979788073	NS	-0.512263734955259	1	NS	-0.145824002835076	1	NS	-0.174691967645945	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146441	MtrunA17Chr1g0146441			medtr.A17.gnm5.MtrunA17Chr1	-	317497	319246	0.415532886658007	1	NS	1.08162718025454	0.817400481412244	NS	1.10623900412525	0.999999979788073	NS	0.669494508714238	1	NS	0.972570714509224	1	NS	0.255260656430275	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146461	MtrunA17Chr1g0146461			medtr.A17.gnm5.MtrunA17Chr1	-	320203	326133	0.0297589871511343	1	NS	-0.0889299192152598	1	NS	0.166693623089018	0.999999979788073	NS	-0.391493560434157	1	NS	-0.08047298825964	1	NS	-0.622596096395877	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146471	MtrunA17Chr1g0146471			medtr.A17.gnm5.MtrunA17Chr1	-	337460	341318	1.14926136917802	0.51843317640178	NS	1.03436370538035	0.786952135641762	NS	1.12030656977203	0.945959037452688	NS	0.874385828084058	1	NS	0.127599711817374	1	NS	0.691451446041424	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146481	MtrunA17Chr1g0146481			medtr.A17.gnm5.MtrunA17Chr1	-	342297	346741	0.555961159662194	1	NS	0.614992813975442	1	NS	-0.0739368383235381	0.999999979788073	NS	0.499366754076269	1	NS	-0.126787931238195	1	NS	0.355008653650608	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146491	MtrunA17Chr1g0146491			medtr.A17.gnm5.MtrunA17Chr1	-	347885	352004	0.542860313926786	1	NS	1.26320987601039	0.213889616231432	NS	0.0837516169633008	0.999999979788073	NS	1.20518403987824	0.300010355865611	NS	-1.11314234976543	0.772163018784721	NS	-0.180749841426316	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146501	MtrunA17Chr1g0146501			medtr.A17.gnm5.MtrunA17Chr1	+	360647	370086	0.334359876147503	1	NS	0.37848997946085	1	NS	0.139182257820029	0.999999979788073	NS	0.358747300587566	1	NS	-0.117406700455421	1	NS	-0.00725894616981318	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146531	MtrunA17Chr1g0146531			medtr.A17.gnm5.MtrunA17Chr1	+	382289	395455	-0.0926415246562768	1	NS	-0.191464694728798	1	NS	0.0744412103366092	0.999999979788073	NS	-0.148748963126707	1	NS	-0.0758983257697485	1	NS	-0.383721788023767	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146551	MtrunA17Chr1g0146551			medtr.A17.gnm5.MtrunA17Chr1	-	411435	417888	0.4833578234256	1	NS	0.779301777272964	1	NS	0.0573678874534377	0.999999979788073	NS	0.62796882036248	1	NS	0.170714644571469	1	NS	0.521987410857556	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146561	MtrunA17Chr1g0146561			medtr.A17.gnm5.MtrunA17Chr1	+	426468	430009	-0.313750286935475	1	NS	-0.326241096379534	1	NS	-0.252961357964469	0.999999979788073	NS	-0.441221979845911	1	NS	0.0288814291359388	1	NS	-0.299741148309142	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146581	MtrunA17Chr1g0146581			medtr.A17.gnm5.MtrunA17Chr1	+	431538	435413	-0.201799352465516	1	NS	0.1417897748535	1	NS	-0.21137393167545	0.999999979788073	NS	-0.846304080223181	1	NS	0.0158654645770416	1	NS	0.213472681277652	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146591	MtrunA17Chr1g0146591			medtr.A17.gnm5.MtrunA17Chr1	-	435512	440555	0.0450652983967167	1	NS	0.664274664930147	1	NS	-0.397196369017027	0.999999979788073	NS	0.32225901302334	1	NS	-3.37587988244345	2.83034783938374e-05	DOWN	-2.20747726209462	0.000419516009931752	DOWN
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146601	MtrunA17Chr1g0146601			medtr.A17.gnm5.MtrunA17Chr1	-	443508	446944	2.61037495917829	0.104567501667823	NS	0.869029792841567	1	NS	0.0394197868525	0.999999979788073	NS	-1.05164756082276	1	NS	1.20946028241002	1	NS	1.89227098481739	0.389468886493911	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0146661	MtrunA17Chr1g0146661			medtr.A17.gnm5.MtrunA17Chr1	-	480355	484552	0.408826097367387	1	NS	0.393689508451582	1	NS	0.0159618101353253	0.999999979788073	NS	0.395399420279498	1	NS	0.192563991626181	1	NS	0.191577130264733	1	NS
