ID,iptm,ptm,ranking_score,fraction_disordered
244_504,0.27,0.48,0.43,0.23
244_162,0.12,0.47,0.34,0.31
244_106,0.2,0.47,0.37,0.23
244_232,0.13,0.42,0.32,0.27
244_412,0.17,0.61,0.34,0.16
244_496,0.22,0.47,0.42,0.29
244_088,0.17,0.52,0.44,0.41
244_390,0.16,0.39,0.44,0.46
244_487,0.14,0.42,0.44,0.49
244_481,0.25,0.53,0.41,0.2
244_291,0.13,0.5,0.44,0.47
244_374,0.15,0.52,0.31,0.18
244_368,0.24,0.55,0.41,0.21
244_230,0.17,0.52,0.35,0.21
244_116,0.32,0.61,0.47,0.19
244_042,0.14,0.44,0.33,0.26
244_414,0.19,0.37,0.38,0.29
244_452,0.15,0.53,0.34,0.21
244_350,0.15,0.58,0.34,0.2
244_589,0.23,0.57,0.39,0.19
244_569,0.19,0.37,0.42,0.38
244_427,0.18,0.46,0.38,0.28
244_198,0.15,0.46,0.32,0.22
244_264,0.09,0.48,0.36,0.39
244_240,0.13,0.46,0.37,0.35
244_214,0.59,0.65,0.71,0.21
244_590,0.15,0.53,0.44,0.43
244_330,0.1,0.61,0.29,0.17
244_597,0.45,0.61,0.58,0.2
244_571,0.31,0.54,0.45,0.2
244_505,0.26,0.57,0.41,0.18
244_366,0.14,0.49,0.32,0.21
244_226,0.27,0.67,0.42,0.13
244_227,0.22,0.47,0.42,0.29
244_318,0.12,0.6,0.31,0.19
244_517,0.34,0.6,0.5,0.21
244_556,0.4,0.59,0.62,0.36
244_604,0.11,0.42,0.43,0.51
244_025,0.15,0.48,0.31,0.19
244_398,0.42,0.57,0.54,0.17
244_046,0.47,0.61,0.58,0.16
244_197,0.22,0.56,0.37,0.16
244_588,0.15,0.46,0.35,0.29
244_022,0.23,0.43,0.4,0.25
244_301,0.33,0.41,0.49,0.27
244_012,0.16,0.53,0.46,0.46
244_066,0.17,0.39,0.38,0.33
244_565,0.18,0.48,0.41,0.34
244_246,0.15,0.39,0.25,0.1
244_544,0.2,0.44,0.39,0.28
244_112,0.29,0.62,0.43,0.15
244_387,0.14,0.51,0.31,0.2
244_381,0.28,0.52,0.44,0.23
244_550,0.15,0.39,0.38,0.35
244_385,0.19,0.53,0.38,0.25
244_314,0.13,0.4,0.31,0.26
244_587,0.16,0.52,0.35,0.24
244_127,0.26,0.46,0.45,0.31
244_036,0.26,0.46,0.43,0.26
244_541,0.16,0.46,0.39,0.34
244_345,0.08,0.52,0.4,0.45
244_492,0.24,0.41,0.42,0.29
244_420,0.41,0.54,0.57,0.26
244_237,0.18,0.52,0.34,0.17
244_083,0.14,0.45,0.44,0.46
244_292,0.29,0.59,0.44,0.17
244_306,0.33,0.46,0.49,0.27
244_432,0.22,0.56,0.39,0.2
244_286,0.19,0.55,0.34,0.17
244_371,0.17,0.44,0.38,0.3
244_469,0.31,0.49,0.44,0.2
244_441,0.21,0.4,0.38,0.27
244_377,0.17,0.55,0.34,0.18
244_653,0.33,0.28,0.56,0.47
244_400,0.3,0.52,0.49,0.3
244_210,0.22,0.53,0.4,0.22
244_520,0.1,0.44,0.32,0.3
244_651,0.17,0.25,0.43,0.49
244_326,0.16,0.35,0.49,0.58
244_603,0.12,0.45,0.42,0.48
244_122,0.11,0.55,0.3,0.19
244_247,0.23,0.43,0.42,0.31
244_435,0.41,0.54,0.55,0.23
244_527,0.14,0.49,0.32,0.22
244_411,0.16,0.43,0.49,0.55
244_459,0.22,0.53,0.39,0.21
244_078,0.43,0.59,0.56,0.19
244_186,0.18,0.47,0.44,0.4
244_424,0.13,0.53,0.31,0.2
244_625,0.25,0.68,0.37,0.07
244_281,0.24,0.53,0.41,0.22
244_316,0.15,0.35,0.42,0.46
244_180,0.28,0.49,0.48,0.31
244_641,0.43,0.54,0.68,0.45
244_355,0.1,0.42,0.3,0.28
244_142,0.32,0.52,0.46,0.2
244_053,0.2,0.52,0.48,0.43
244_419,0.18,0.52,0.35,0.2
244_216,0.14,0.53,0.32,0.2
244_090,0.19,0.48,0.43,0.37
244_171,0.11,0.49,0.45,0.52
244_559,0.16,0.56,0.33,0.17
244_558,0.23,0.42,0.4,0.28
244_396,0.18,0.49,0.34,0.19
244_043,0.45,0.43,0.57,0.23
244_378,0.2,0.51,0.37,0.22
244_194,0.2,0.59,0.36,0.17
244_079,0.29,0.62,0.45,0.18
244_500,0.19,0.59,0.36,0.19
244_146,0.23,0.52,0.39,0.21
244_510,0.13,0.47,0.36,0.32
244_327,0.21,0.57,0.38,0.19
244_608,0.2,0.54,0.38,0.22
244_533,0.33,0.65,0.47,0.15
244_080,0.29,0.47,0.44,0.22
244_274,0.49,0.56,0.6,0.19
244_473,0.36,0.42,0.52,0.3
244_044,0.14,0.47,0.39,0.37
244_202,0.19,0.55,0.36,0.19
244_268,0.13,0.48,0.37,0.35
244_495,0.15,0.5,0.32,0.19
244_130,0.12,0.41,0.32,0.29
244_123,0.23,0.38,0.39,0.26
244_526,0.14,0.59,0.32,0.17
244_612,0.28,0.58,0.44,0.2
244_007,0.16,0.48,0.33,0.23
244_108,0.26,0.51,0.47,0.33
244_548,0.22,0.72,0.38,0.12
244_217,0.21,0.46,0.37,0.23
244_126,0.19,0.49,0.39,0.29
244_508,0.2,0.56,0.37,0.2
244_319,0.16,0.52,0.3,0.14
244_060,0.29,0.51,0.5,0.34
244_599,0.28,0.57,0.44,0.21
244_362,0.22,0.56,0.38,0.18
244_568,0.16,0.48,0.39,0.33
244_575,0.17,0.52,0.34,0.21
244_466,0.09,0.5,0.42,0.49
244_131,0.13,0.51,0.44,0.47
244_271,0.3,0.62,0.46,0.19
244_004,0.2,0.47,0.44,0.38
244_451,0.14,0.49,0.31,0.21
244_023,0.18,0.39,0.47,0.5
244_388,0.25,0.45,0.48,0.38
244_442,0.17,0.57,0.35,0.19
244_064,0.28,0.54,0.44,0.21
244_062,0.5,0.56,0.61,0.2
244_524,0.25,0.45,0.52,0.46
244_051,0.19,0.51,0.36,0.21
244_132,0.18,0.49,0.35,0.2
244_365,0.18,0.57,0.35,0.19
244_021,0.23,0.46,0.41,0.25
244_250,0.21,0.52,0.37,0.2
244_457,0.15,0.42,0.34,0.28
244_585,0.19,0.51,0.51,0.5
244_196,0.2,0.6,0.35,0.15
244_092,0.21,0.45,0.38,0.25
244_349,0.42,0.62,0.57,0.21
244_187,0.21,0.72,0.36,0.09
244_189,0.25,0.57,0.43,0.23
244_134,0.32,0.5,0.47,0.22
244_546,0.3,0.47,0.58,0.5
244_359,0.17,0.46,0.36,0.26
244_633,0.21,0.49,0.45,0.37
244_256,0.25,0.5,0.46,0.32
244_515,0.15,0.49,0.4,0.36
244_191,0.12,0.48,0.45,0.51
244_418,0.17,0.5,0.31,0.14
244_081,0.32,0.45,0.51,0.33
244_578,0.22,0.51,0.39,0.22
244_208,0.16,0.53,0.35,0.24
244_393,0.15,0.47,0.33,0.22
244_605,0.18,0.59,0.35,0.18
244_367,0.23,0.48,0.42,0.29
244_338,0.15,0.49,0.35,0.26
244_389,0.25,0.45,0.41,0.26
244_024,0.39,0.48,0.54,0.26
244_397,0.14,0.39,0.4,0.41
244_513,0.15,0.5,0.46,0.47
244_479,0.22,0.33,0.33,0.17
244_178,0.28,0.5,0.48,0.31
244_258,0.09,0.44,0.36,0.39
244_254,0.16,0.51,0.34,0.22
244_181,0.17,0.65,0.34,0.15
244_016,0.16,0.53,0.33,0.21
244_159,0.13,0.49,0.4,0.38
244_342,0.21,0.52,0.37,0.2
244_485,0.2,0.48,0.36,0.22
244_035,0.69,0.48,0.79,0.28
244_430,0.22,0.52,0.45,0.34
244_033,0.33,0.46,0.47,0.24
244_061,0.27,0.48,0.43,0.25
244_205,0.15,0.51,0.33,0.21
244_351,0.17,0.48,0.34,0.21
244_270,0.26,0.37,0.45,0.35
244_175,0.16,0.41,0.34,0.26
244_470,0.5,0.62,0.62,0.18
244_606,0.19,0.5,0.41,0.32
244_311,0.17,0.39,0.34,0.24
244_360,0.17,0.54,0.35,0.2
244_293,0.4,0.62,0.53,0.16
244_535,0.32,0.53,0.52,0.31
244_574,0.28,0.5,0.42,0.2
244_040,0.14,0.42,0.3,0.2
244_137,0.17,0.47,0.42,0.37
244_195,0.17,0.6,0.34,0.17
244_511,0.35,0.51,0.52,0.28
244_357,0.26,0.47,0.47,0.33
244_266,0.12,0.4,0.32,0.28
244_067,0.13,0.39,0.33,0.28
244_356,0.16,0.49,0.49,0.53
244_285,0.18,0.51,0.36,0.23
244_426,0.21,0.54,0.37,0.19
244_501,0.37,0.57,0.5,0.18
244_074,0.7,0.63,0.78,0.19
244_551,0.19,0.5,0.41,0.32
244_054,0.19,0.4,0.37,0.28
244_157,0.17,0.46,0.38,0.3
244_220,0.18,0.62,0.34,0.16
244_313,0.37,0.45,0.52,0.27
244_444,0.18,0.51,0.35,0.21
244_026,0.22,0.44,0.4,0.28
244_324,0.14,0.47,0.35,0.29
244_155,0.45,0.46,0.62,0.33
244_518,0.22,0.6,0.39,0.18
244_636,0.15,0.38,0.37,0.34
244_170,0.14,0.48,0.39,0.35
244_463,0.15,0.57,0.32,0.18
244_538,0.18,0.62,0.34,0.13
244_623,0.24,0.64,0.41,0.18
244_468,0.21,0.49,0.37,0.21
244_380,0.5,0.66,0.61,0.16
244_104,0.22,0.53,0.38,0.2
244_284,0.25,0.51,0.43,0.25
244_213,0.17,0.43,0.35,0.25
244_561,0.18,0.54,0.35,0.2
244_158,0.16,0.59,0.33,0.18
244_241,0.21,0.43,0.39,0.28
244_502,0.11,0.37,0.25,0.19
244_460,0.32,0.52,0.46,0.2
244_071,0.44,0.61,0.54,0.14
244_404,0.14,0.44,0.32,0.24
244_592,0.16,0.41,0.38,0.34
244_103,0.23,0.42,0.39,0.23
244_114,0.16,0.6,0.33,0.16
244_335,0.16,0.37,0.42,0.43
244_228,0.21,0.51,0.45,0.35
244_642,0.49,0.47,0.78,0.6
244_582,0.15,0.48,0.48,0.53
244_436,0.19,0.42,0.37,0.26
244_537,0.2,0.56,0.37,0.19
244_483,0.25,0.51,0.41,0.22
244_361,0.17,0.59,0.33,0.15
244_489,0.13,0.47,0.3,0.21
244_392,0.19,0.47,0.38,0.28
244_486,0.47,0.59,0.57,0.15
244_339,0.15,0.47,0.42,0.41
244_579,0.18,0.65,0.35,0.15
244_277,0.16,0.44,0.36,0.28
244_252,0.17,0.42,0.34,0.24
244_471,0.25,0.46,0.43,0.27
244_211,0.17,0.64,0.34,0.16
244_628,0.22,0.69,0.39,0.15
244_253,0.19,0.52,0.37,0.23
244_540,0.11,0.51,0.43,0.48
244_619,0.54,0.57,0.73,0.38
244_163,0.78,0.47,0.85,0.27
244_251,0.34,0.43,0.51,0.3
244_299,0.2,0.5,0.37,0.23
244_439,0.28,0.43,0.44,0.26
244_454,0.17,0.44,0.35,0.25
244_129,0.24,0.58,0.4,0.18
244_119,0.16,0.48,0.41,0.37
244_109,0.18,0.5,0.49,0.5
244_449,0.22,0.5,0.38,0.21
244_174,0.27,0.5,0.47,0.32
244_415,0.27,0.48,0.39,0.17
244_001,0.26,0.58,0.4,0.16
244_615,0.51,0.66,0.64,0.2
244_476,0.18,0.41,0.36,0.28
244_037,0.18,0.52,0.46,0.43
244_185,0.13,0.49,0.47,0.53
244_222,0.21,0.49,0.39,0.24
244_491,0.17,0.48,0.34,0.21
244_168,0.26,0.47,0.45,0.29
244_269,0.21,0.45,0.47,0.43
244_455,0.14,0.64,0.3,0.13
244_601,0.13,0.45,0.33,0.28
244_376,0.34,0.64,0.48,0.16
244_490,0.16,0.56,0.35,0.23
244_188,0.27,0.43,0.44,0.28
244_529,0.22,0.54,0.39,0.21
244_027,0.12,0.52,0.42,0.44
244_045,0.3,0.47,0.55,0.43
244_507,0.22,0.52,0.38,0.21
244_341,0.22,0.63,0.38,0.16
244_236,0.41,0.62,0.54,0.18
244_218,0.4,0.46,0.53,0.23
244_307,0.29,0.58,0.41,0.12
244_184,0.31,0.57,0.47,0.21
244_635,0.18,0.75,0.35,0.09
244_363,0.24,0.67,0.39,0.14
244_154,0.19,0.49,0.42,0.34
244_110,0.17,0.43,0.37,0.3
244_617,0.12,0.46,0.41,0.45
244_002,0.61,0.62,0.71,0.19
244_352,0.2,0.51,0.37,0.21
244_049,0.2,0.43,0.36,0.23
244_611,0.14,0.5,0.32,0.22
244_156,0.22,0.56,0.39,0.2
244_261,0.16,0.53,0.33,0.2
244_609,0.41,0.41,0.54,0.26
244_514,0.13,0.62,0.32,0.18
244_278,0.12,0.43,0.35,0.33
244_133,0.3,0.54,0.45,0.2
244_034,0.71,0.64,0.8,0.2
244_069,0.22,0.35,0.34,0.19
244_554,0.26,0.48,0.42,0.23
244_139,0.13,0.53,0.31,0.21
244_598,0.25,0.46,0.44,0.3
244_332,0.21,0.44,0.4,0.29
244_248,0.16,0.42,0.37,0.3
244_030,0.24,0.54,0.4,0.2
244_461,0.21,0.7,0.37,0.12
244_649,0.14,0.4,0.36,0.33
244_379,0.21,0.57,0.38,0.19
244_020,0.23,0.5,0.43,0.3
244_190,0.34,0.34,0.48,0.28
244_115,0.18,0.49,0.43,0.36
244_429,0.33,0.49,0.47,0.22
244_512,0.16,0.41,0.4,0.37
244_031,0.32,0.65,0.48,0.17
244_322,0.18,0.53,0.36,0.21
244_298,0.24,0.51,0.48,0.37
244_219,0.18,0.5,0.35,0.21
244_165,0.21,0.43,0.41,0.32
244_410,0.19,0.45,0.37,0.26
244_325,0.29,0.49,0.47,0.28
244_089,0.16,0.46,0.4,0.36
244_105,0.19,0.5,0.35,0.2
244_434,0.18,0.47,0.39,0.3
244_354,0.37,0.47,0.56,0.33
244_445,0.4,0.53,0.53,0.22
244_147,0.16,0.62,0.32,0.13
244_276,0.13,0.46,0.38,0.37
244_308,0.17,0.56,0.35,0.2
244_584,0.47,0.56,0.58,0.19
244_243,0.16,0.56,0.34,0.2
244_323,0.34,0.59,0.49,0.21
244_120,0.18,0.52,0.35,0.2
244_096,0.27,0.47,0.44,0.27
244_399,0.27,0.42,0.44,0.28
244_329,0.27,0.41,0.43,0.25
244_010,0.43,0.52,0.62,0.34
244_039,0.11,0.39,0.38,0.42
244_014,0.23,0.48,0.44,0.31
244_594,0.16,0.52,0.33,0.21
244_334,0.19,0.57,0.35,0.17
244_370,0.12,0.5,0.31,0.23
244_464,0.15,0.52,0.34,0.23
244_182,0.16,0.55,0.32,0.17
244_273,0.14,0.45,0.45,0.51
244_018,0.37,0.42,0.52,0.29
244_484,0.31,0.56,0.45,0.18
244_506,0.19,0.39,0.34,0.23
244_503,0.23,0.45,0.41,0.28
244_310,0.14,0.33,0.42,0.47
244_183,0.28,0.48,0.48,0.32
244_482,0.29,0.6,0.38,0.06
244_072,0.21,0.44,0.4,0.29
244_052,0.4,0.48,0.52,0.21
244_572,0.09,0.42,0.37,0.44
244_480,0.19,0.64,0.35,0.14
244_573,0.21,0.56,0.39,0.21
244_249,0.16,0.46,0.33,0.22
244_549,0.14,0.53,0.32,0.2
244_630,0.18,0.57,0.35,0.18
244_223,0.19,0.52,0.36,0.21
244_058,0.17,0.44,0.38,0.32
244_138,0.14,0.52,0.34,0.24
244_209,0.11,0.47,0.33,0.3
244_239,0.23,0.57,0.39,0.19
244_522,0.27,0.72,0.43,0.13
244_005,0.2,0.62,0.36,0.15
244_637,0.51,0.44,0.6,0.21
244_015,0.14,0.45,0.35,0.29
244_498,0.17,0.52,0.34,0.21
244_233,0.27,0.43,0.47,0.34
244_312,0.17,0.54,0.46,0.44
244_149,0.22,0.64,0.37,0.15
244_295,0.12,0.52,0.44,0.48
244_542,0.09,0.39,0.41,0.53
244_416,0.24,0.43,0.33,0.11
018_265,0.28,0.61,0.42,0.14
018_512,0.23,0.56,0.38,0.16
018_102,0.2,0.54,0.32,0.11
018_314,0.29,0.54,0.39,0.1
018_637,0.36,0.58,0.46,0.11
018_398,0.2,0.5,0.3,0.09
018_403,0.32,0.56,0.42,0.1
018_532,0.21,0.54,0.33,0.1
018_506,0.21,0.55,0.33,0.1
018_368,0.19,0.55,0.31,0.1
018_413,0.19,0.5,0.29,0.09
018_166,0.18,0.53,0.3,0.09
018_501,0.2,0.5,0.31,0.08
018_051,0.27,0.56,0.38,0.1
018_538,0.29,0.53,0.37,0.07
018_401,0.21,0.52,0.32,0.1
018_101,0.17,0.51,0.29,0.1
018_045,0.29,0.62,0.44,0.17
018_400,0.27,0.58,0.39,0.12
018_290,0.22,0.44,0.3,0.08
018_645,0.23,0.49,0.36,0.16
018_353,0.24,0.6,0.37,0.12
018_162,0.2,0.57,0.34,0.13
018_576,0.22,0.54,0.33,0.09
018_095,0.28,0.53,0.4,0.15
018_024,0.22,0.53,0.34,0.11
018_288,0.22,0.5,0.32,0.09
018_471,0.17,0.56,0.31,0.12
018_561,0.22,0.5,0.33,0.1
018_559,0.21,0.46,0.31,0.09
018_417,0.21,0.48,0.31,0.09
018_169,0.44,0.63,0.54,0.12
018_242,0.24,0.54,0.35,0.09
018_385,0.19,0.52,0.31,0.11
018_198,0.16,0.54,0.28,0.1
018_444,0.23,0.55,0.34,0.1
018_374,0.25,0.51,0.35,0.09
018_086,0.23,0.57,0.36,0.12
018_159,0.53,0.61,0.61,0.14
018_361,0.4,0.56,0.47,0.08
018_203,0.22,0.56,0.35,0.13
018_167,0.18,0.49,0.29,0.1
018_441,0.26,0.58,0.38,0.1
018_467,0.25,0.54,0.35,0.08
